episode,reward,steps,delivered,total_time_hours,total_cost,total_risk,path,shipment_type,wall_clock_s,phase
1,-49.45,5,False,119.4,50944.0,1.952,Bangalore -> Hubli -> Mangalore -> Mysore -> Bangalore -> Hubli,pharmaceuticals,0.8,1
2,33.15,5,True,100.1,49062.0,0.74,Chandigarh -> Ludhiana -> Delhi -> Kanpur -> Varanasi -> Patna,electronics,1.0,1
3,-38.6,5,False,161.8,43229.0,2.253,Udaipur -> Ahmedabad -> Indore -> Bhopal -> Gwalior -> Agra,pharmaceuticals,1.1,1
4,-84.05,5,False,247.3,81767.0,1.083,Jabalpur -> Bhopal -> Nagpur -> Raipur -> Bhubaneswar -> Ranchi,pharmaceuticals,1.3,1
5,-79.1,5,False,609.3,92519.0,0.789,Mangalore -> Mysore -> Bangalore -> Hyderabad -> Visakhapatnam -> Chennai,machinery,1.4,1
6,-46.91,5,False,187.9,95531.0,0.508,Guwahati -> Kolkata -> Patna -> Lucknow -> Delhi -> Kanpur,machinery,1.5,1
7,-66.65,5,False,243.0,74618.0,0.232,Kolkata -> Bhubaneswar -> Ranchi -> Kolkata -> Guwahati -> Kolkata,textiles,1.7,1
8,-41.17,5,False,94.0,49441.0,0.576,Indore -> Jaipur -> Delhi -> Ludhiana -> Amritsar -> Ludhiana,pharmaceuticals,1.8,1
9,-73.75,3,False,147.5,52747.0,0.617,Nagpur -> Mumbai -> Pune -> Bangalore,perishables,1.9,1
10,-44.34,5,False,75.4,50844.0,0.552,Delhi -> Ludhiana -> Amritsar -> Ludhiana -> Delhi -> Chandigarh,machinery,2.0,1
11,-31.12,5,False,91.8,46516.0,0.572,Gwalior -> Agra -> Lucknow -> Patna -> Ranchi -> Varanasi,perishables,2.2,1
12,-55.8,4,False,127.1,35168.0,0.951,Surat -> Mumbai -> Nashik -> Ahmedabad -> Rajkot,perishables,2.3,1
13,-37.59,5,False,60.5,49969.0,0.093,Nagpur -> Mumbai -> Surat -> Vadodara -> Ahmedabad -> Indore,textiles,2.4,1
14,28.1,5,True,145.0,67940.0,0.708,Mangalore -> Hubli -> Bangalore -> Chennai -> Coimbatore -> Kochi,electronics,2.6,1
15,-36.72,5,False,53.6,33160.0,0.722,Chandigarh -> Delhi -> Ludhiana -> Amritsar -> Ludhiana -> Chandigarh,pharmaceuticals,2.7,1
16,-42.89,5,False,202.8,85120.0,0.107,Visakhapatnam -> Chennai -> Madurai -> Coimbatore -> Chennai -> Hyderabad,textiles,2.9,1
17,-24.87,5,False,35.3,41018.0,0.224,Kanpur -> Lucknow -> Agra -> Gwalior -> Bhopal -> Jabalpur,machinery,3.0,1
18,-38.26,5,False,158.5,60603.0,1.177,Kochi -> Thiruvananthapuram -> Kochi -> Bangalore -> Coimbatore -> Chennai,pharmaceuticals,3.2,1
19,-43.73,5,False,161.7,80868.0,0.269,Ahmedabad -> Jaipur -> Indore -> Ahmedabad -> Rajkot -> Surat,fmcg,3.3,1
20,-53.18,5,False,161.7,58117.0,0.515,Lucknow -> Agra -> Kanpur -> Delhi -> Jaipur -> Ahmedabad,fmcg,3.5,1
